Name,Fouls,Yellows,Reds,Pens
A Marriner,19.125984251968504,3.267716535433071,0.11023622047244094,0.18110236220472442
A Taylor,22.2,3.5533333333333337,0.10666666666666666,0.24666666666666667
C Kavanagh,19.85,3.275,0.1,0.175
C Pawson,21.89430894308943,3.4390243902439024,0.1951219512195122,0.1951219512195122
G Scott,20.18,2.58,0.12,0.26
J Moss,22.638297872340424,3.5319148936170213,0.1702127659574468,0.2695035460992908
K Friend,21.288288288288285,3.4954954954954953,0.08108108108108109,0.2792792792792793
L Mason,22.019230769230766,2.9230769230769234,0.13461538461538464,0.22115384615384617
L Probert,20.046511627906977,2.395348837209302,0.20930232558139533,0.18604651162790697
M Atkinson,21.76551724137931,3.475862068965517,0.11724137931034483,0.15172413793103448
M Clattenburg,22.367088607594937,3.2658227848101267,0.1518987341772152,0.31645569620253167
M Dean,21.63013698630137,3.815068493150685,0.2328767123287671,0.3082191780821918
M Jones,22.88607594936709,3.088607594936709,0.12658227848101267,0.21518987341772153
M Oliver,21.73469387755102,3.2108843537414966,0.17006802721088435,0.3129251700680272
N Swarbrick,20.333333333333336,3.3580246913580245,0.08641975308641975,0.14814814814814814
P Tierney,21.509090909090908,2.963636363636364,0.05454545454545454,0.10909090909090909
R East,22.76543209876543,3.185185185185185,0.08641975308641975,0.24691358024691357
R Madley,22.141176470588235,3.211764705882353,0.10588235294117647,0.2823529411764706
S Attwell,19.52,3.2,0.06,0.16
